Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
NoticiasYa Nevada,noticiasunivisionnevada,246243391130,72752,2020-08-21 19:30:13 EDT,Link,7,1,0,1,0,3,0,0,0,,0,0,0,N/A,https://www.facebook.com/noticiasunivisionnevada/posts/10158360498391131,Hasta los comentaristas más conservadores han dicho estas muy buenas cosas sobre el discurso de Biden de anoche.,https://noticiasya.com/2020/08/21/hasta-fox-news-elogio-el-discurso-de-joe-biden/,,,This is a re-share of a post,,,,12,12
NoticiasYa Nevada,noticiasunivisionnevada,246243391130,72725,2020-08-19 21:03:06 EDT,Native Video,5,0,2,2,0,2,0,1,0,share,946,43758,0,02:18:37,https://www.facebook.com/noticiasunivisionnevada/posts/10158355137796131,"Síguenos #EnVivo: Barack Obama, Nancy Pelosi, Hillary Clinton y Kamala Harris en el día 3 de la Convención Nacional Demócrata",https://www.facebook.com/politicaya/videos/348042659567530/,,,Política Ya,"Síguenos #EnVivo: Barack Obama, Nancy Pelosi, Hillary Clinton y Kamala Harris en el día 3 de la Convención Nacional Demócrata",,,12,12
NoticiasYa Colorado,noticiasunivisioncolorado,136000442842,448992,2020-09-15 12:12:07 EDT,Native Video,9,0,1,0,0,2,0,0,0,share,4247,45544,0,00:11:52,https://www.facebook.com/noticiasunivisioncolorado/posts/10157629417272843,"Hoy Joe Biden visita Florida. A favor y en contra, así esperan al candidato en Tampa en este momento. La información con Filippo Ferretti.",https://www.facebook.com/univisiontampabay/videos/1429938257191757/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funivisiontampabay%2Fvideos%2F1429938257191757%2F,,NoticiasYa Tampa Bay,Así esperan la visita del ex vicepresidente Joe Biden en Tampa.,,,12,12
NoticiasYa Colorado,noticiasunivisioncolorado,136000442842,448082,2020-08-19 23:20:00 EDT,Photo,9,0,0,2,0,0,0,1,0,,0,0,0,N/A,https://www.facebook.com/noticiasunivisioncolorado/posts/10157571275307843,"Necesitamos un presidente que nos reúna a todos para lograr el futuro que necesitamos, enfatiza la candidata a la vicepresidencia Kamala Harris. #Destino2020 http://notiya.info/7unuv:=:https://noticiasya.com/2020/08/19/en-vivo-nancy-pelosi-barack-obama-hillary-clinton-en-la-convencion/",https://www.facebook.com/politicaya/photos/a.992382204187480/3294663557292655/?type=3,,"CONVENCIÓN DEMÓCRATA 2020 Estamos en un punto de inflexión. El constante caos nos deja la deriva. La incompetencia nos hace sentir miedo. La insensibilidad nos hace sentir solos. Es mucho. Y esta es la realidad: Podemos hacerlo mejor y merecemos mucho más. Debemos elegir un presidente que traiga algo diferente, algo mejor, que haga el trabajo que importa. Un presidente que nos reúna todos- negros, blancos, latinos, asiáticos, indígenas- para lograr el futuro que queremos colectivamente. Debemos elegir Joe Biden. Kamala Harris Senadora candidata a la vicepresidencia DESTINO 2020 politica",Política Ya,"Necesitamos un presidente que nos reúna a todos para lograr el futuro que necesitamos, enfatiza la candidata a la vicepresidencia Kamala Harris. #Destino2020",,,12,12
NoticiasYa Colorado,noticiasunivisioncolorado,136000442842,447956,2020-08-17 20:15:00 EDT,Photo,11,0,0,0,0,1,0,0,0,,0,0,0,N/A,https://www.facebook.com/noticiasunivisioncolorado/posts/10157566638232843,"Durante el primer día de la Convención Demócrata, la ex primera dama Michelle Obama será una de las oradoras principales de la noche. También el republicano John Kasich se une en apoyo a Joe Biden.",https://www.facebook.com/politicaya/photos/a.992382204187480/3288453791246965/?type=3,,,Política Ya,"Durante el primer día de la Convención Demócrata, la ex primera dama Michelle Obama será una de las oradoras principales de la noche. También el republicano John Kasich se une en apoyo a Joe Biden.",,,12,12
Univision 32,Univision32,539147046157704,83757,2020-10-22 20:55:01 EDT,Native Video,11,0,1,0,0,0,0,0,0,share,1013,978526,0,03:02:05,https://www.facebook.com/Univision32/posts/4555441294528239,📌 El debate final: Donald J. Trump y Joe Biden en su último cara a cara. #Destino2020 #Debates2020,https://www.facebook.com/univisionnoticias/videos/779526936202002/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Funivisionnoticias%2Fvideos%2F779526936202002%2F,,Univision Noticias,"📌 El debate final: Donald J. Trump y Joe Biden en su último cara a cara. 
 
Sigue nuestra cobertura especial EN VIVO y EN ESPAÑOL con Jorge Ramos e Ilia Calderon y la participación de Patricia Janiot, Maria Antonieta Collins y Carolina Sarassa. #Destino2020",,,12,12
Univision Arizona,UnivisionArizona,166182736740984,124556,2020-10-20 11:56:44 EDT,Photo,10,1,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/UnivisionArizona/posts/5332617733430766,Univision anuncia la cobertura especial “Destino2020: Esperando El Debate Final” entre los candidatos a la presidencia de los Estados Unidos Donald Trump y Joe Biden. Este jueves 22 de octubre desde las 5pm hora de Arizona.,https://www.facebook.com/UnivisionArizona/photos/a.207000532659204/5332617336764139/?type=3,,DESTINO DESTINO2020 2020 EL DEBATE FINAL THURSDAY 8p/7c/5PAC 5pac,,,,,12,12
Univision Arizona,UnivisionArizona,166182736740984,123044,2020-08-19 20:55:52 EDT,Link,3,0,0,3,1,4,0,1,0,,0,0,0,N/A,https://www.facebook.com/UnivisionArizona/posts/5012901135402429,"El presidente de Estados Unidos recibió el respaldo del sindicato nacional de la Patrulla Fronteriza durante su visita a Yuma, el vicepresidente Art Del Cueto aseguró que como latino apoya la gestión del republicano. #Destino2020 https://bit.ly/2Q62wp3:=:https://www.univision.com/local/arizona-ktvw/elecciones-estados-unidos-2020/el-plan-biden-es-el-plan-de-inmigracion-mas-radical-trump-visita-arizona-y-recibe-respaldo-de-la-patrulla-fronteriza?35345&utm_campaign=Univision+Arizona,UnivisionAZ&utm_medium=social&utm_source=facebook,twitter",https://www.univision.com/local/arizona-ktvw/elecciones-estados-unidos-2020/el-plan-biden-es-el-plan-de-inmigracion-mas-radical-trump-visita-arizona-y-recibe-respaldo-de-la-patrulla-fronteriza?35345&utm_campaign=Univision+Arizona&utm_medium=social&utm_source=facebook,,,"""El plan Biden es el plan de inmigración más radical"": Trump visita Arizona y recibe respaldo de la Patrulla Fronteriza","El presidente de Estados Unidos recibió el respaldo del sindicato nacional de la Patrulla Fronteriza durante su visita a Yuma, el vicepresidente Art Del Cueto aseguró que como latino apoya la gestión del republicano.",,,12,12
La Opinion,LaOpinionLA,211919680353,519447,2020-10-01 22:31:30 EDT,Link,8,0,0,0,3,1,0,0,0,,0,0,0,N/A,https://www.facebook.com/LaOpinionLA/posts/10166256397570354,😷🏥 Hope Hicks también acompañó al mandatario el primer debate presidencial contra Joe Biden,https://laopinion.com/2020/10/01/asesora-cercana-de-trump-da-positivo-por-coronavirus-viajo-con-el-presidente-este-miercoles/?utm_medium=Social&utm_source=Facebook#Echobox=1601605883,,,Asesora cercana de Trump da positivo por coronavirus. Viajó con el presidente este miércoles,,,,12,12
NoticiasYa Nuevo México,UnivisionNuevoMexico,261292886579,66862,2020-08-26 00:00:11 EDT,Link,10,0,0,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/UnivisionNuevoMexico/posts/10157077983631580,"Citando a Michelle Obama y pidiendo apoyo para Joe Biden, Shakira criticó duramente al presidente Trump y pide a sus fanáticos votar para removerlo de la Casa Blanca.",http://notiya.info/oefms,https://noticiasya.com/2020/08/25/video-shakira-llama-a-hispanos-a-votar-pero-no-por-donald-trump/,,"VIDEO: Shakira llama a hispanos a votar, pero no por Donald Trump","En sus redes sociales, la cantante se apoyó de las palabras de Michelle Obama para criticar al republicano",,,12,12
